Date,State/UnionTerritory,Confirmed
2/6/2020,Puducherry,74
2/6/2020,Punjab,2301
2/6/2020,Rajasthan,8980
2/6/2020,Sikkim,1
2/6/2020,Tamil Nadu,23495
2/6/2020,Telengana,2792
2/6/2020,Tripura,420
2/6/2020,Uttarakhand,958
2/6/2020,Uttar Pradesh,8075
2/6/2020,West Bengal,5772
2/6/2020,Cases being reassigned to states,6414
3/6/2020,Andaman and Nicobar Islands,33
3/6/2020,Andhra Pradesh,3898
3/6/2020,Arunachal Pradesh,22
3/6/2020,Assam,1513
3/6/2020,Bihar,4155
3/6/2020,Chandigarh,301
3/6/2020,Chhattisgarh,564
3/6/2020,Dadar Nagar Haveli,4
3/6/2020,Delhi,22132
3/6/2020,Goa,79
3/6/2020,Gujarat,17617
3/6/2020,Haryana,2652
3/6/2020,Himachal Pradesh,345
3/6/2020,Jammu and Kashmir,2718
3/6/2020,Jharkhand,712
3/6/2020,Karnataka,3796
3/6/2020,Kerala,1412
3/6/2020,Ladakh,81
3/6/2020,Madhya Pradesh,8420
3/6/2020,Maharashtra,72300
3/6/2020,Manipur,89
3/6/2020,Meghalaya,27
3/6/2020,Mizoram,13
3/6/2020,Nagaland,49
3/6/2020,Odisha,2245
3/6/2020,Puducherry,82
3/6/2020,Punjab,2342
3/6/2020,Rajasthan,9373
3/6/2020,Sikkim,1
3/6/2020,Tamil Nadu,24586
3/6/2020,Telengana,2891
3/6/2020,Tripura,468
3/6/2020,Uttarakhand,1043
3/6/2020,Uttar Pradesh,8361
3/6/2020,West Bengal,6168
3/6/2020,Cases being reassigned to states,7123
4/6/2020,Andaman and Nicobar Islands,33
4/6/2020,Andhra Pradesh,4080
4/6/2020,Arunachal Pradesh,38
4/6/2020,Assam,1672
4/6/2020,Bihar,4390
4/6/2020,Chandigarh,301
4/6/2020,Chhattisgarh,668
4/6/2020,Dadar Nagar Haveli,8
4/6/2020,Delhi,23645
4/6/2020,Goa,79
4/6/2020,Gujarat,18100
4/6/2020,Haryana,2954
4/6/2020,Himachal Pradesh,359
4/6/2020,Jammu and Kashmir,2857
4/6/2020,Jharkhand,752
4/6/2020,Karnataka,4063
4/6/2020,Kerala,1494
4/6/2020,Ladakh,90
4/6/2020,Madhya Pradesh,8588
4/6/2020,Maharashtra,74860
4/6/2020,Manipur,118
